Date,Location,DLT,MDT,ADT,DMT,DARH,ADWS,MDWS,CWW
2023-01-01,부산,-3.4,9.3,4,0.4,43.8,2.1,4.9,X
2023-01-02,부산,-3.7,7.8,3.1,0.5,19.5,2.6,6.7,X
2023-01-03,부산,-6.8,6.8,1.5,-1.7,28.3,2.9,6.1,X
2023-01-04,부산,-6.7,8.5,2.6,-2,39.5,2.6,5.1,X
2023-01-05,부산,-2.4,9.4,4.6,1.1,47.1,2.1,4.2,X
2023-01-06,부산,-3,11.3,5.3,1.3,51.3,3.3,5.7,X
2023-01-07,부산,-1.3,9.9,5.7,3.6,52.9,3.7,8.6,X
2023-01-08,부산,-2.6,11.9,6.2,1.4,42.4,2.9,7.6,X
2023-01-09,부산,3.6,14.2,9.3,5.7,56.9,3.6,7.3,X
2023-01-10,부산,1.1,13.3,7.8,3.9,58.1,2.2,5,X
2023-01-11,부산,3.4,13.6,8.9,4.8,60.8,2.7,6.2,X
2023-01-12,부산,5.6,17.2,11.8,6.3,71.1,1.6,4.5,X
2023-01-13,부산,,16.3,14.6,13.7,98.8,3,8.1,X
2023-01-14,부산,5.6,14.2,10.3,8,89.8,3.2,5.5,X
2023-01-15,부산,-2.5,8.1,6,1.5,86.8,2.6,4.9,X
2023-01-16,부산,-8.8,6.9,1.3,-1.8,50.5,5.8,9.1,X
2023-01-17,부산,-8.2,6.4,1.5,-2.1,39.5,3.8,8.5,X
2023-01-18,부산,-5.2,6.9,2.5,-0.1,54,2.8,6.9,X
2023-01-19,부산,-5.2,8,2.9,-0.8,54.5,2.9,5,X
2023-01-20,부산,-5.7,8.4,3.3,-1.9,39,4.6,9.2,X
2023-01-21,부산,-11,7.2,0.8,-3.9,25.6,3,8.3,X
2023-01-22,부산,-3,8.5,4.3,-0.2,50.1,2,3.5,X
2023-01-23,부산,-0.8,12.8,6.6,2,51.6,2.4,7.8,O
2023-01-24,부산,-18,4.8,-5.6,-10.6,32.8,5.1,10.8,O
2023-01-25,부산,-20.9,0.4,-6.4,-12,27.5,3.5,7.6,O
2023-01-26,부산,-12.8,4.8,-0.1,-6.4,45.6,2.5,5.7,X
2023-01-27,부산,-11.7,3,-1.1,-5.5,35.6,4.3,9.5,X
2023-01-28,부산,-15.7,2.4,-2.8,-7.6,42.4,4.6,8.8,X
2023-01-29,부산,-7.7,6.6,1.5,-3.8,51.5,3.3,6.1,X
2023-01-30,부산,-4.7,7.4,3,-0.7,31.8,3.3,6.9,X
2023-01-31,부산,-3.9,10.4,5.1,-0.1,42.1,3.8,7.4,X
2023-01-01,서울,-8.1,3.8,-0.2,-4.3,54.5,2.7,5.3,X
2023-01-02,서울,-11.9,-0.4,-4.5,-7.4,45.9,2.5,4.4,X
2023-01-03,서울,-13,0.6,-5,-9,49,1.8,3.9,X
2023-01-04,서울,-9.1,3.3,-1.8,-5.7,51.4,1.9,4.2,X
2023-01-05,서울,-9.7,3.6,-1.6,-5.6,58.1,1.6,3.2,X
2023-01-06,서울,-8.6,5.7,0.6,-4.7,71.9,2.2,4.1,X
2023-01-07,서울,-3.3,3.8,1.5,-1.4,80.9,2.2,4.4,X
2023-01-08,서울,-7.6,6.3,1.3,-3.7,69.3,1.7,3,X
2023-01-09,서울,-4.5,7,3.1,-1.3,60.1,2.3,4.7,X
2023-01-10,서울,-7.8,9.1,1.6,-3.9,59.9,1.5,2.7,X
2023-01-11,서울,-5.5,9.2,2.6,-2,61.9,1.6,3.3,X
2023-01-12,서울,-3.9,12.5,5.9,-0.6,46.6,2.2,3.4,X
2023-01-13,서울,1.3,10.1,8.3,5.1,99.1,2.5,6.3,X
2023-01-14,서울,-0.4,8.4,6.6,3.8,92.9,2.5,5.7,X
2023-01-15,서울,-7.9,3.8,-0.2,-3.5,93.9,2.8,4.3,O
2023-01-16,서울,-12.5,-1.2,-4.6,-6.8,63.1,2.7,4.3,O
