Date,Location,Minimum Feeling Temperature(¡ÆC),maximum temperature(¡ÆC),average temperature(¡ÆC),lowest temperature(¡ÆC),Average Relative Humidity(%),average wind speed(m/s),maximum wind speed(m/s),Cold wave warning(O/X)
2023-01-01,104,-3.3,7.7,3,-2,29.6,2.1,6.3,X
2023-01-01,106,-0.4,9.9,5.3,0.8,26.1,2.7,5.3,X
2023-01-01,108,-8.1,3.8,-0.2,-4.3,54.5,2.7,5.3,X
2023-01-01,112,-10.1,3.3,-0.6,-4.1,52.1,3.8,6.3,X
2023-01-01,114,-3.7,4.5,0,-3.9,51.9,1.1,3.2,O
2023-01-01,115,-0.7,7.1,4.8,3.1,52,3,8,X
2023-01-01,119,-8.8,3.5,-2.1,-6.6,63.1,1.8,4.2,X
2023-01-01,121,-4.7,5.3,0.6,-3.4,49.6,1.6,4.8,O
2023-01-01,127,-5.8,4.8,-2.3,-8.1,61.3,0.9,3.5,O
2023-01-01,129,-7.5,4.7,-1.2,-5.7,64.5,1.2,4.2,X
2023-01-01,130,-7.3,10,2.9,-3.8,38,2.2,4.7,X
2023-01-01,131,-5.2,5.3,-0.3,-4.5,54.1,1.5,3.2,X
2023-01-01,133,-7.1,7,-0.8,-5.2,54.1,1.7,5.2,X
2023-01-01,135,-8.1,4.1,0.7,-2.3,45.1,5.1,8.9,X
2023-01-01,136,-8.8,6.9,0.1,-6.4,51.9,2.1,6.3,O
2023-01-01,137,-5.5,6.9,1.9,-1.4,44.9,2.5,4.2,X
2023-01-01,138,-2.5,8.7,3.9,-0.4,41.6,2.8,6.7,X
2023-01-01,140,-7.5,6,-0.2,-4.5,66.3,1.6,5.6,X
2023-01-01,143,-5.4,7.1,1.7,-3.9,61.4,2.5,6.8,X
2023-01-01,146,-5.6,5.9,0.6,-3,62,1.6,3.1,X
2023-01-01,152,-1.3,8.2,4.2,-0.1,37,2.4,4.6,X
2023-01-01,155,-2.7,7.2,2.4,-3,45.1,1.3,4,X
2023-01-01,156,-3,7,1.3,-2.9,64.6,0.8,2.3,X
2023-01-01,159,-3.4,9.3,4,0.4,43.8,2.1,4.9,X
2023-01-01,162,-4.4,9.2,3.2,-1.6,59.3,1.5,3.6,X
2023-01-01,165,-2.8,6.9,2.7,-0.2,68.9,3.5,9.1,X
2023-01-01,168,-3.2,8.5,4.3,1.1,49.4,5.2,10.4,X
2023-01-01,169,-2.4,8.3,5.9,3.6,65.4,6.9,11,X
2023-01-01,170,-0.1,9,5.3,2.5,59.5,2.3,4.9,X
2023-01-01,172,-7.3,6.5,-0.5,-4.9,70.9,1.7,5.6,X
2023-01-01,184,2.6,10.9,8.1,5.2,61.4,3.8,5.3,X
2023-01-01,192,-6,9.5,0.4,-8,55.4,0.6,2.4,X
2023-01-01,202,-5.8,4.9,-1,-6.2,54.8,1.4,4.3,O
2023-01-01,203,-5.6,5.5,-1.7,-7.7,58.4,1.1,3.1,O
2023-01-01,211,-6.2,5.4,-0.9,-6.5,49.3,1.8,4.3,O
2023-01-01,212,-5.2,4.5,-2.3,-7.6,57.5,0.8,4.2,O
2023-01-01,216,-7.5,2,-2.4,-6.2,43.5,1.2,2.8,O
2023-01-01,217,-8.6,5.4,0.1,-5.4,37,2.2,5.9,O
2023-01-01,221,-8.2,3.6,-2.4,-9.4,61,1.4,6.1,O
2023-01-01,226,-5.4,5,-2.3,-9.3,62.4,1.1,4.3,O
2023-01-01,232,-4.9,4.5,-2.3,-8.8,65,1,3.5,O
2023-01-01,235,-3.5,6,1,-2.2,58.5,1.2,4.9,X
2023-01-01,236,0.7,6.9,-1.3,-6.5,68.5,0.7,3.4,X
2023-01-01,238,-0.2,5.8,-2.5,-8.4,66,0.7,2.9,X
2023-01-01,239,-4.2,6,-0.8,-6,53.3,1.1,5,X
2023-01-01,243,-1.6,5.7,0.4,-3.5,70.9,0.6,2.5,X
2023-01-01,244,-2.6,5.1,-1.8,-8.4,68,0.8,2.9,X
2023-01-01,245,-4.7,4.9,0.5,-3.1,67.3,1.2,3.9,X
2023-01-01,247,-9,5.7,-1.8,-6.9,77.8,1,2.9,X
2023-01-01,248,-10.6,3.8,-2.8,-8.4,67.5,1.3,4.9,X
2023-01-01,252,-2.4,6.9,0.5,-4.5,71.3,1.2,4.9,X
2023-01-01,253,-2.9,8.7,2.7,-2.5,46,1.3,4.2,X
2023-01-01,254,-9.4,5.8,-2,-8.6,72.1,1.4,4.6,X
2023-01-01,257,-4.9,9.5,2.9,-1.9,53,1.6,3.6,X
2023-01-01,259,-1.5,8.8,1.9,-4.2,68.3,1.9,5.2,X
2023-01-01,260,-1.2,8.4,1,-6.7,68.5,1.8,4.8,X
2023-01-01,261,-0.2,8.1,1.5,-4.8,71.1,1.4,4.7,X
2023-01-01,262,-1,8.1,2.1,-4.4,63.8,1.8,6,X
2023-01-01,263,-9.5,9.5,-0.9,-8.4,70.5,0.9,2.7,X
2023-01-01,264,-4.7,7.6,2.8,-3.2,46.9,2.8,5.1,X
2023-01-01,268,-5.7,8,2.5,-3.6,72.6,2.6,6.5,X
2023-01-01,271,-7,5.9,1.6,-4.3,48.6,2.4,6.8,O
2023-01-01,272,-7.3,4.7,1.5,-1.8,45.5,5.1,7.2,O
2023-01-01,273,-7.5,5.9,1.9,-1.7,43.8,4.6,7,X
2023-01-01,276,-6.2,6.7,0.2,-3.8,43.3,3.1,6.5,O
2023-01-01,277,-3.4,8.3,3.2,-1.3,40.4,2.9,7.3,X
2023-01-01,278,-6.3,7.8,-2.5,-10.5,62.3,0.9,4.8,O
2023-01-01,279,0,7.4,0.6,-5.9,51.3,1,3.5,X
2023-01-01,281,-3.9,7.4,2.9,-0.2,44.5,3.4,6.8,X
2023-01-01,283,-4.6,8.3,3.1,-2.7,43.8,2.7,5.4,X
2023-01-01,284,-8,7.6,-1,-8.1,63.1,1.3,4.6,X
2023-01-01,285,4.4,9.3,-0.4,-7.6,64.4,0.4,2.1,X
2023-01-01,288,0.5,9.1,0.4,-7.2,54.4,0.6,2.9,X
2023-01-01,289,-2.4,7.6,3.5,0.2,48.3,2.9,6.1,X
2023-01-01,294,-1.2,8.4,2.9,-1.9,57.6,0.8,2.4,X
2023-01-01,295,-0.5,8.9,4.3,-1.3,56.3,2.1,4.5,X
2023-01-01,433,-8.5,2.2,-1.6,-5.7,43,0.6,2,X
2023-01-01,437,-8.2,3.7,0.3,-3.7,43,2,4.8,X
2023-01-01,438,-6.7,4.1,0.4,-3.6,42,1.4,3.6,X
2023-01-01,444,-4,4,-1,-5.6,52,0.3,1.4,X
2023-01-01,445,-5.5,4.4,-0.1,-3.8,46,1,3.4,X
2023-01-01,504,-11,4.2,-2.8,-8.9,53,1.6,4.7,O
2023-01-01,505,-8.3,3.2,-1.3,-5.6,49,1.6,4.5,O
2023-01-01,516,-9.4,5,-1.9,-7.4,64,1.8,4.3,O
2023-01-01,517,-4.5,7.1,3.4,-0.2,21,4.3,7.5,X
2023-01-01,526,-8.6,4.6,-1.9,-7.8,51,1.2,3.4,O
2023-01-01,532,-8,3.4,-1.9,-5.8,60,1.4,3.8,O
2023-01-01,536,-8.7,6.1,-2.6,-8.1,66,1,3.8,O
2023-01-01,540,-7.8,3.8,-1.2,-5.2,52,1.5,4.7,O
2023-01-01,541,-9,5.6,-2.1,-7.1,56,1.2,2.9,O
2023-01-01,545,-5.4,5.1,-2.4,-9.7,59,0.8,2.9,X
2023-01-01,546,-7,4.6,-1.4,-5.6,49,1,2.6,O
2023-01-01,548,-9.2,4,-1.6,-6.1,61,1.5,3.6,O
2023-01-01,549,-6.4,5.1,-1.6,-6.4,53,1.2,4.1,O
2023-01-01,550,-6.5,4.8,-1.8,-7.4,61,1.3,3.5,X
2023-01-01,551,-7.6,4.6,-0.7,-5.1,57,2.1,4.7,X
2023-01-01,555,-10.7,5.3,-3.7,-9.1,71,1.4,6.6,O
2023-01-01,556,-12.1,4.8,-3.4,-9.5,53,1.8,4.5,O
2023-01-01,565,-7.6,3.9,-2,-7.8,60,1.8,4.5,X
2023-01-01,571,-6.1,3.8,-1.1,-4.5,59,1.1,2.7,X
2023-01-01,572,-5.9,4.2,-0.2,-3.9,43,1.2,4.5,X
2023-01-01,590,-7.5,5,-0.2,-4.8,50,1.9,5.3,X
2023-01-01,598,-9.5,2.6,-4.4,-10.1,65,1.3,5.6,O
2023-01-01,601,0.2,6,-1.2,-5.9,63,0.8,3.1,O
2023-01-01,602,-8.3,5.4,-1.3,-7.9,58,1.8,5.7,O
2023-01-01,603,-9.2,4.7,-3.8,-12.1,61,1.2,3.9,O
2023-01-01,604,-3.2,6,-1.6,-8.2,60,1,3.9,X
2023-01-01,608,-6.5,6.2,-0.4,-3.6,59,1.6,4,X
2023-01-01,612,-8.7,6.4,-2,-7.2,65,0.8,2.8,X
2023-01-01,615,-8,6.7,-1.4,-6.2,68,1.4,4.7,X
2023-01-01,616,-6,4,0.3,-3.2,57,1.8,4.2,X
2023-01-01,618,-0.8,5,-3.4,-8.5,70,0.7,3.6,X
2023-01-01,619,-12.1,3.8,-4.3,-12,64,1.7,4.9,O
2023-01-01,623,-5.4,5,-1.7,-7.8,64,1.5,5.2,O
2023-01-01,627,-4.4,4.9,0.6,-2.8,62,1.1,3.2,X
2023-01-01,628,-6.4,4.5,-0.5,-3.9,59,1.3,3.2,X
2023-01-01,634,-8.5,4,-1,-5.3,63,2.1,5.1,X
2023-01-01,636,-7.2,5.8,-1.8,-8.6,63,1.1,3.8,O
2023-01-01,652,-9.5,3.1,-4.2,-10.3,61,0.8,3.4,O
2023-01-01,670,-4.6,7.7,3.7,0,23,4.7,7.5,X
2023-01-01,699,-5.8,7.4,0.9,-3.5,74,1.6,5.6,X
2023-01-01,701,-6.3,5.3,-2.8,-8.1,70,0.8,3.8,X
2023-01-01,702,-5.7,6.3,0,-4.7,62,1.3,3.9,X
2023-01-01,703,-9.8,4.1,-3.1,-8.9,69,1.1,3.7,X
2023-01-01,706,-7.2,7.4,-0.5,-5.8,79,1.4,4.8,X
2023-01-01,709,-5.8,7,2.4,-3.5,63,4.3,8.1,X
2023-01-01,710,-7.1,7.5,0.1,-5.3,79,1.6,4.9,X
2023-01-01,712,-5.9,9.1,3,-3.1,58,2.4,4.6,X
2023-01-01,713,0.6,9.1,2.4,-4,52,1.5,3.7,X
2023-01-01,730,-4,7.1,-1.1,-6.2,77,0.9,4.2,X
2023-01-01,732,-2.1,6.9,0.2,-6.5,70,1.5,4.4,X
2023-01-01,734,-6.9,7,-0.3,-5.8,68,1.1,4,X
2023-01-01,737,-6.2,5,0.5,-3.2,64,2.3,3.8,X
2023-01-01,741,-8.2,6.5,-0.2,-6.3,72,1.6,5.4,X
2023-01-01,754,-7.2,7.7,0.9,-4.6,75,2.1,5.1,X
2023-01-01,768,-8.6,6.3,-1.3,-7,78,1.1,4.3,X
2023-01-01,789,-6.6,8.6,3.2,-0.9,76,4,7.2,X
2023-01-01,801,-10.9,6.6,-1.2,-7.6,60,1.9,4,O
2023-01-01,810,-4.9,8,-1.6,-10.3,58,1.3,5.9,X
2023-01-01,812,2.5,8.1,-2.2,-9.8,64,0.7,4.3,X
